Rank,Dish Name,Frequency (Votes),Consensus (Popularity %)
862,live kunafa,1,0.88%
863,layered singaporean fusion rice,1,0.88%
864,assorted swiss rolls,1,0.88%
865,fudge brownie,1,0.88%
866,velvety cream caramel,1,0.88%
867,live jalebi,1,0.88%
868,gourmet cake medley,1,0.88%
869,daal palak,1,0.88%
870,kashmiri tea,1,0.88%
871,gulabi chai,1,0.88%
872,mooli paratha,1,0.88%
873,fish pakoras,1,0.88%
874,lobia daal,1,0.88%
875,peas pulao,1,0.88%
876,chicken tikka biryani,1,0.88%
877,fish tahiri,1,0.88%
878,dates lassi,1,0.88%
879,peach lassi,1,0.88%
880,namkeen lassi,1,0.88%
881,strawberry lassi,1,0.88%
882,naan kabab,1,0.88%
883,lahori harisa,1,0.88%
884,kadoo,1,0.88%
885,gajar aaloo matar sabzi,1,0.88%
886,kachnaar,1,0.88%
887,aloo vala naan,1,0.88%
888,shakar vala parontha,1,0.88%
889,vaysan vala naan,1,0.88%
890,curry pakora,1,0.88%
891,bhoora,1,0.88%
892,masala stuffed karaylay,1,0.88%
893,masla stuffed tinday,1,0.88%
894,chatpati vegetables,1,0.88%
895,masoor daal pulao,1,0.88%
896,loki gosht,1,0.88%
897,lentils and rice,1,0.88%
898,mutton curry,1,0.88%
899,mix vegetable pulao,1,0.88%
900,tawa qeema,1,0.88%
901,tori sabzi,1,0.88%
902,meat stew,1,0.88%
903,vegetable pakora curry,1,0.88%
904,daal tadka,1,0.88%
905,trout fish,1,0.88%
906,kachi lassi,1,0.88%
907,basen ki roti,1,0.88%
908,prawns masala,1,0.88%
909,chiray,1,0.88%
910,sarsun ka saag & makki ki roti,1,0.88%
911,romali roti,1,0.88%
912,anday wala burger,1,0.88%
913,lukum dany,1,0.88%
914,warqi,1,0.88%
915,andrasa,1,0.88%
916,gil-e-firdaus,1,0.88%
917,pan pera,1,0.88%
918,paplet fish fry,1,0.88%
919,berckuzh / chapshoro,1,0.88%
920,masalay bhare tinday,1,0.88%
921,pheniyan,1,0.88%
922,aush,1,0.88%
923,shurukut ulak,1,0.88%
924,badam ka sharbat,1,0.88%
925,thandai / sardai,1,0.88%
926,chikar cholay,1,0.88%
927,rizala,1,0.88%
928,aushak,1,0.88%
929,phitti,1,0.88%
930,metha paan,1,0.88%
931,lemon soda,1,0.88%
932,khalis dahi,1,0.88%
933,gol gappay or pani puri,1,0.88%
934,satu,1,0.88%
935,rabri doodh,1,0.88%
936,pan ice cream,1,0.88%
937,nimco,1,0.88%
938,meethi seviyan,1,0.88%
939,soup,1,0.88%
940,basen wala naan,1,0.88%
941,falsa juice,1,0.88%
942,imartis,1,0.88%
943,pamir cuisine,1,0.88%
944,neembu pani / squenjbeen,1,0.88%
945,khopra pak,1,0.88%
946,imli alo bukhara sharbat,1,0.88%
947,shakarkandi,1,0.88%
948,sultani daal,1,0.88%
949,arvi gosht,1,0.88%
950,raan roast,1,0.88%
951,macchli,1,0.88%
952,ravri,1,0.88%
953,gyaling or go-lee,1,0.88%
954,anda ghotala,1,0.88%
955,phirni,1,0.88%
956,kaleji kabab,1,0.88%
957,modur palao,1,0.88%
958,khoya khajoor,1,0.88%
959,tarbooz e afza,1,0.88%
960,tud tud bhata,1,0.88%
961,gachak,1,0.88%
962,bhutta,1,0.88%
963,ladu peethi,1,0.88%
964,roth,1,0.88%
965,zeera sharbat,1,0.88%
966,mantu,1,0.88%
967,gulabi chai / kashmiri chai,1,0.88%
968,palao,1,0.88%
969,mircho ka salan,1,0.88%
970,crab claw,1,0.88%
971,sabaz chai,1,0.88%
972,batair,1,0.88%
973,ganay ki roh,1,0.88%
974,qeema bhare karelay,1,0.88%
975,khubani ki chutney,1,0.88%
976,pakora kadhi,1,0.88%
977,meethi tikkiyan,1,0.88%
978,twist puff pastry,1,0.88%
979,shopan / joqes,1,0.88%
980,pathay ka halwa,1,0.88%
981,chaanp,1,0.88%
982,cream fruit chaat,1,0.88%
983,murabba,1,0.88%
984,qehwa,1,0.88%
985,shakes,1,0.88%
986,dalcha,1,0.88%
987,zamin doz machhli,1,0.88%
988,cham cham,1,0.88%
989,shab-daig,1,0.88%
990,lukhmi,1,0.88%
991,ghiya kadu,1,0.88%
992,raho machli,1,0.88%
993,teetar,1,0.88%
994,tamatar ki chutney,1,0.88%
995,daal ka halwa,1,0.88%
996,ladu,1,0.88%
997,khoya kulfi,1,0.88%
998,bun sheermaal,1,0.88%
999,tawa piece,1,0.88%
1000,kulfa falooda,1,0.88%
1001,kachori with aloo ki bhujiya,1,0.88%
1002,loki ka raita,1,0.88%
1003,chicken makhni,1,0.88%
1004,tandoori chargha,1,0.88%
1005,methi lassi,1,0.88%
1006,aloo ki tarkari,1,0.88%
1007,bong paye,1,0.88%
1008,bolani,1,0.88%
1009,shakar pary,1,0.88%
1010,hari chutney,1,0.88%
1011,gatta candy,1,0.88%
1012,murgh-e-musalam,1,0.88%
1013,dhaagywale kabab,1,0.88%
1014,ojri curry,1,0.88%
1015,imli ki chutney,1,0.88%
1016,dowdo soup,1,0.88%
1017,habshi halwa,1,0.88%
1018,samosa aloo,1,0.88%
1019,doodh soda,1,0.88%
1020,rasgulla,1,0.88%
1021,chikki mraunda,1,0.88%
1022,maal pura,1,0.88%
1023,braised beef,1,0.88%
1024,mutton masala sajji,1,0.88%
1025,mutton,1,0.88%
1026,chicken namkeen karahi,1,0.88%
1027,lamb handi boneless,1,0.88%
1028,chicken,1,0.88%
1029,curry,1,0.88%
1030,mutton cuts,1,0.88%
1031,chicken makhani sajji,1,0.88%
1032,pakistani beef nihari,1,0.88%
1033,strawberry cake,1,0.88%
1034,date pudding,1,0.88%
1035,gobi ghost,1,0.88%
1036,muttor qeema,1,0.88%
1037,chicken bbq pieces,1,0.88%
1038,chicken malai handi,1,0.88%
1039,potato salad,1,0.88%
1040,mutton nihari,1,0.88%
1041,bread pudding,1,0.88%
1042,chargha biryani,1,0.88%
1043,vegetarian patties,1,0.88%
1044,chana bhaji,1,0.88%
1045,oreo delight,1,0.88%
1046,beef chappal kabab,1,0.88%
1047,afghani pulao,1,0.88%
1048,chicken qorma,1,0.88%
1049,macaroni salad,1,0.88%
1050,samosy,1,0.88%
1051,mutton chanp masala,1,0.88%
1052,banana bread,1,0.88%
1053,chappal kabab,1,0.88%
1054,ice cream,1,0.88%
1055,tuscon chicken pasta,1,0.88%
1056,white chicken karahi,1,0.88%
1057,chicken murgh musalam,1,0.88%
1058,chicken steam roast,1,0.88%
1059,chocolate fudge cake with ice cream,1,0.88%
1060,fruit salad,1,0.88%
1061,mint chutni,1,0.88%
1062,chicken steaks in white sauce,1,0.88%
1063,chicken and vegetable noodles,1,0.88%
1064,vegetable cutluts,1,0.88%
1065,baked pasta,1,0.88%
1066,chicken kofty anday,1,0.88%
1067,boondi raita,1,0.88%
1068,fries,1,0.88%
1069,beef boti,1,0.88%
1070,desi chicken roast,1,0.88%
1071,handi sekh kabab,1,0.88%
1072,chicken broast with fries,1,0.88%
1073,cream salad,1,0.88%
1074,boneless handi,1,0.88%
1075,cheese cake,1,0.88%
1076,fruit trifle,1,0.88%
1077,warm bread pudding,1,0.88%
1078,chicken roast with steamed vegetables,1,0.88%
1079,aloo bhaji,1,0.88%
1080,chicken shwarma,1,0.88%
1081,rabri kheer,1,0.88%
1082,kari gravy,1,0.88%
1083,thadal,1,0.88%
1084,camel pulao,1,0.88%
1085,pallo machi,1,0.88%
1086,noon chai,1,0.88%
1087,apricot stew,1,0.88%
1088,bannu beef pulao,1,0.88%
1089,lahore biryani,1,0.88%
1090,walnut cake,1,0.88%
1091,bun kebabs,1,0.88%
1092,arabian paratha,1,0.88%
1093,bone marrow biryani,1,0.88%
1094,fish kata-kat,1,0.88%
1095,mixed grill,1,0.88%
1096,nalli nihari,1,0.88%
1097,green chutney,1,0.88%
1098,salin,1,0.88%
1099,qeema gobhi,1,0.88%
1100,desi chicken yakhni,1,0.88%
1101,mutton neck yakhni,1,0.88%
1102,pakistani sweets,1,0.88%
1103,handi-style karahi,1,0.88%
1104,bihari boti,1,0.88%
1105,special zarda,1,0.88%
1106,aloo biryani,1,0.88%
1107,tikka biryani,1,0.88%
1108,desi murgh yakhni,1,0.88%
1109,raan tandoori,1,0.88%
1110,mutton kunna,1,0.88%
1111,murgh kashmiri,1,0.88%
1112,mutton nalli,1,0.88%
1113,family platter,1,0.88%
1114,mutton joint roast,1,0.88%
1115,murgh makhni,1,0.88%
1116,mutton ribs,1,0.88%
1117,tawa chicken qeema,1,0.88%
1118,balochi namkeen gosht,1,0.88%
1119,mutton shank rogan-e-josh,1,0.88%
1120,beef khoya kabab,1,0.88%
1121,landi kotal karahi,1,0.88%
1122,peshawari qehwa,1,0.88%
1123,masala chai,1,0.88%
1124,murgh handi,1,0.88%
1125,tawa mutton qeema,1,0.88%
1126,behari kabab,1,0.88%
1127,maghaz masala,1,0.88%
1128,desi murgh karahi,1,0.88%
1129,kulfi & faluda,1,0.88%
1130,qandhari roti,1,0.88%
1131,butter rice,1,0.88%
1132,chicken cheese kabab,1,0.88%
1133,shahi kheer,1,0.88%
1134,mutton chilman biryani,1,0.88%
1135,tawa champ,1,0.88%
1136,haryali boti,1,0.88%
1137,sindhi matka biryani,1,0.88%
1138,murgh multani white karahi,1,0.88%
1139,shahi raan,1,0.88%
1140,multani mutton white karahi,1,0.88%
1141,chicken tangdri kabab,1,0.88%
1142,cholistani pulao,1,0.88%
1143,rusks,1,0.88%
1144,daal seu,1,0.88%
1145,golgappe,1,0.88%
1146,moringa flowerbud curry,1,0.88%
1147,kelawo,1,0.88%
1148,ghalmandi,1,0.88%
1149,rosehip oil bread,1,0.88%
1150,beef pulao,1,0.88%
1151,kalli,1,0.88%
1152,qulfi,1,0.88%
1153,phikka khoya,1,0.88%
1154,kofte,1,0.88%
1155,makai da sitta,1,0.88%
1156,nāshtā,1,0.88%
1157,palo fish,1,0.88%
1158,bhail puri,1,0.88%
1159,masala stews,1,0.88%
1160,kharoray,1,0.88%
1161,malai tikka kebab,1,0.88%
1162,makai roti,1,0.88%
1163,bhugal gosht,1,0.88%
1164,buckwheat bread,1,0.88%
1165,cutlass,1,0.88%
1166,multani halwa,1,0.88%
1167,gajraila,1,0.88%
1168,almond bread,1,0.88%
1169,shorba,1,0.88%
1170,egg rolls,1,0.88%
1171,lab e shireen,1,0.88%
1172,zarda rice,1,0.88%
1173,doodh dulari,1,0.88%
1174,beef behari boti,1,0.88%
1175,mutton kunna paya,1,0.88%
1176,fish tikka boti,1,0.88%
1177,masala biryani,1,0.88%
1178,chicken red sauce,1,0.88%
1179,chicken fillet,1,0.88%
1180,shahi batair,1,0.88%
1181,chicken labnese kabab,1,0.88%
1182,beef chulu kabab,1,0.88%
1183,beef shami kabab,1,0.88%
1184,desi chicken karahi,1,0.88%
1185,murgh channay,1,0.88%
1186,qeema wala naan,1,0.88%
1187,tawa chicken,1,0.88%
1188,phajjay ke paye,1,0.88%
1189,deep-fried fish,1,0.88%
1190,beef fry nihari,1,0.88%
1191,desi mutton chops,1,0.88%
1192,mughlai biryani,1,0.88%
1193,kashmiri daal chawal,1,0.88%
1194,tandoori chicken skewers,1,0.88%
1195,palak,1,0.88%
1196,methi aloo,1,0.88%
1197,aloo samosas,1,0.88%
1198,lobia paratha,1,0.88%
1199,mixed vegetable,1,0.88%
1200,khitcheri,1,0.88%
1201,naan channa,1,0.88%
1202,ande aloo,1,0.88%
1203,aloo mutter,1,0.88%
1204,arvi bengan,1,0.88%
1205,ladoo,1,0.88%
1206,palak bhindi,1,0.88%
1207,khatti moong daal,1,0.88%
1208,karela sabzi,1,0.88%
1209,lobia masala,1,0.88%
1210,apricot juice,1,0.88%
1211,spiced lamb skewers,1,0.88%
1212,tandoori,1,0.88%
1213,balti gosht,1,0.88%
1214,zafrani kulfi,1,0.88%
1215,dahi bhalla chaat,1,0.88%
1216,chicken spaghetti,1,0.88%
1217,pakistani chicken shorba,1,0.88%
1218,waheed k fry kabab,1,0.88%
1219,degchi kabab,1,0.88%
1220,kidneys,1,0.88%
1221,resha kabab,1,0.88%
1222,chicken bihari boti,1,0.88%
1223,tikka masala,1,0.88%
1224,tamatar gosht,1,0.88%
1225,petha halwa,1,0.88%
1226,fruit trifle dessert,1,0.88%
1227,mutanjan chawal,1,0.88%
